IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:3009:59:75d:e821:3b2f:dd46,4,4,0.00,152.70,71.71
2606:4700:e3:d7a4:f5d5:e2a8:9993:ede4,4,4,0.00,152.55,71.65
2606:4700:e7:26f:4ef:3301:9f56:9f45,4,4,0.00,152.60,71.60
2400:cb00:2049:15b5:fb78:e337:6725:2dc4,4,4,0.00,152.61,71.54
2606:4700:a8:0:f5:7234:95e0:7512,4,4,0.00,152.66,71.46
2606:4700:130:ca:1a20:13f:bcdd:2446,4,4,0.00,152.66,71.09
2606:4700:3034:d3:e12d:419c:e518:6dea,4,4,0.00,152.67,70.51
2400:cb00:f00e:0:29:83b9:577c:c26,4,4,0.00,152.70,70.13
2606:4700:3000:0:d2:887f:142a:5202,4,4,0.00,152.56,69.98
2606:4700:3034:fb30:fa19:b75d:719d:7956,4,4,0.00,152.30,16.88
2606:4700:3000:a108:eb47:2952:90c1:7f8c,4,4,0.00,152.36,14.56
2606:4700:130:0:4804:bc87:5fb1:11b5,4,4,0.00,151.56,13.71
2606:4700:3000:a1f0:70e5:227:db90:eb6d,4,4,0.00,152.39,13.64
2606:4700:3002:0:bd94:c152:19fc:d886,4,4,0.00,152.35,11.95
2400:cb00:2049:d5a5:dc30:fa57:5160:f98e,4,4,0.00,152.08,10.66
2400:cb00:2049:d5a5:6ea3:12b3:e680:e84a,4,4,0.00,149.07,9.68
2606:4700:3000:a1ba:ab75:786:d883:b261,4,4,0.00,152.11,9.51
2606:4700:3000:a1ba:4f5f:eb05:e06a:df7c,4,4,0.00,151.52,9.42
2606:4700:3000:f6:354b:cdf6:1b1e:fc83,4,4,0.00,152.04,8.50
2606:4700:0:c8:1cf4:4e51:dc1:113a,4,4,0.00,151.17,8.32
2400:cb00:2049:d5a5:6ea3:127a:f290:6c98,4,4,0.00,151.59,7.87
2a06:98c1:3104:0:fe99:eeb1:8b14:fb3d,4,4,0.00,152.08,7.20
2606:4700:3000:a1f0:707b:d8e2:4e09:e2b4,4,4,0.00,148.98,6.95
2606:4700:3007::8373:7bcf:47f0,4,4,0.00,152.54,6.68
2a06:98c1:3109:d3:5fb6:417e:511e:968b,4,4,0.00,152.30,6.22
2a06:98c1:3109:3fae:9b83:b918:fe72:ba1c,4,4,0.00,151.53,5.73
2606:4700:130:ca:b32d:b4a1:37cc:9925,4,4,0.00,152.30,5.66
2606:4700:3000:a1ba:570:48c8:8a17:98ca,4,4,0.00,148.62,5.30
2606:4700:3034:d3:e126:dc3f:999a:9396,4,4,0.00,152.54,5.16
2606:4700:3005:33:179f:828a:e84e:f27b,4,4,0.00,152.23,5.01
